target,horizon,model,rmse
CO(GT),1,LightGBM,0.618856917379077
CO(GT),1,RF,0.6582445692123304
CO(GT),1,Linear,0.6494761638334826
CO(GT),1,XGBoost,0.642548657880267
CO(GT),1,AttnLSTM,1.5960063056975933
CO(GT),1,TCN,1.1807114405762198
CO(GT),1,Transformer,1.6155862135103807
CO(GT),1,TFT,1.3373146946947962
CO(GT),1,Informer,1.5127994574057178
CO(GT),1,Autoformer,1.1876188451980159
CO(GT),1,BlendMean,0.610861221573295
CO(GT),6,LightGBM,1.1371735249052743
CO(GT),6,RF,1.2290817593946286
CO(GT),6,Linear,1.1501784285515635
CO(GT),6,XGBoost,1.2017817896233542
CO(GT),6,AttnLSTM,1.4940865994345407
CO(GT),6,TCN,1.2633992842742978
CO(GT),6,Transformer,1.6543465567267923
CO(GT),6,TFT,1.6347992995528409
CO(GT),6,Informer,1.400520285688591
CO(GT),6,Autoformer,1.477267826192427
CO(GT),6,BlendMean,1.1053335103132975
CO(GT),12,LightGBM,1.4340535126937954
CO(GT),12,RF,1.5594648377909224
CO(GT),12,Linear,1.1638905374880841
CO(GT),12,XGBoost,1.5049565663401847
CO(GT),12,AttnLSTM,1.452833369859758
CO(GT),12,TCN,1.347592829808067
CO(GT),12,Transformer,2.055708972004192
CO(GT),12,TFT,1.7388814344733625
CO(GT),12,Informer,1.4090050056276548
CO(GT),12,Autoformer,1.391124083030543
CO(GT),12,BlendMean,1.347405132977529
CO(GT),24,LightGBM,1.4666931542142811
CO(GT),24,RF,1.568510814641248
CO(GT),24,Linear,1.2455784872003335
CO(GT),24,XGBoost,1.4444082041999544
CO(GT),24,AttnLSTM,1.819026975784944
CO(GT),24,TCN,1.3473745323510469
CO(GT),24,Transformer,1.8558197573431952
CO(GT),24,TFT,1.7790006117989159
CO(GT),24,Informer,1.6392891517586485
CO(GT),24,Autoformer,1.7091124973523797
CO(GT),24,BlendMean,1.375174893084497
NMHC(GT),1,LightGBM,23.623318266561608
NMHC(GT),1,RF,6.094683127160484
NMHC(GT),1,Linear,6.566665610110095
NMHC(GT),1,XGBoost,9.65511963050609
NMHC(GT),1,AttnLSTM,233.0280890245625
NMHC(GT),1,TCN,51.52481049346945
NMHC(GT),1,Transformer,164.28154193613875
NMHC(GT),1,TFT,162.30941921370803
NMHC(GT),1,Informer,164.90985534651523
NMHC(GT),1,Autoformer,164.85529558392633
NMHC(GT),1,BlendMean,10.178044603003986
NMHC(GT),6,LightGBM,47.56800334263224
NMHC(GT),6,RF,11.598543676160443
NMHC(GT),6,Linear,16.8385600531682
NMHC(GT),6,XGBoost,69.44960234226274
NMHC(GT),6,AttnLSTM,231.94668079804882
NMHC(GT),6,TCN,47.836337543713725
NMHC(GT),6,Transformer,163.97589610154984
NMHC(GT),6,TFT,162.8906062887316
NMHC(GT),6,Informer,163.45512497166305
NMHC(GT),6,Autoformer,164.102296922754
NMHC(GT),6,BlendMean,34.456238812941
NMHC(GT),12,LightGBM,14.6567760601472
NMHC(GT),12,RF,16.668699335449435
NMHC(GT),12,Linear,17.25815026240719
NMHC(GT),12,XGBoost,13.15492206681324
NMHC(GT),12,AttnLSTM,232.29283081793184
NMHC(GT),12,TCN,50.35698359941207
NMHC(GT),12,Transformer,163.97599347404
NMHC(GT),12,TFT,162.5925626313227
NMHC(GT),12,Informer,163.51634614372514
NMHC(GT),12,Autoformer,164.21431635589258
NMHC(GT),12,BlendMean,7.682314355809849
NMHC(GT),24,LightGBM,4.41343296794024
NMHC(GT),24,RF,5.54721515510364
NMHC(GT),24,Linear,25.224171111333604
NMHC(GT),24,XGBoost,13.901653703010334
NMHC(GT),24,AttnLSTM,232.39414621545617
NMHC(GT),24,TCN,50.65612446171104
NMHC(GT),24,Transformer,164.42699468771144
NMHC(GT),24,TFT,161.1404447878084
NMHC(GT),24,Informer,164.5672009029004
NMHC(GT),24,Autoformer,164.07364126932896
NMHC(GT),24,BlendMean,11.477041252346245
C6H6(GT),1,LightGBM,2.9650477611048807
C6H6(GT),1,RF,2.938706233146651
C6H6(GT),1,Linear,3.162846611004169
C6H6(GT),1,XGBoost,3.0559434277135327
C6H6(GT),1,AttnLSTM,6.117275123697059
C6H6(GT),1,TCN,5.693053855056698
C6H6(GT),1,Transformer,7.739231511471741
C6H6(GT),1,TFT,8.051534133691439
C6H6(GT),1,Informer,6.158088943122426
C6H6(GT),1,Autoformer,7.9430109974198615
C6H6(GT),1,BlendMean,2.8540702408564274
C6H6(GT),6,LightGBM,5.330748696044684
C6H6(GT),6,RF,6.110583640306163
C6H6(GT),6,Linear,5.461450113328649
C6H6(GT),6,XGBoost,5.772336755162178
C6H6(GT),6,AttnLSTM,6.7834589277165405
C6H6(GT),6,TCN,7.6652531105700845
C6H6(GT),6,Transformer,9.682216166929535
C6H6(GT),6,TFT,7.5029738765224705
C6H6(GT),6,Informer,6.884422678047177
C6H6(GT),6,Autoformer,7.2547377701795455
C6H6(GT),6,BlendMean,5.287959143027695
C6H6(GT),12,LightGBM,6.4561175802382635
C6H6(GT),12,RF,7.2781643203931505
C6H6(GT),12,Linear,5.836015996521381
C6H6(GT),12,XGBoost,7.062126101802053
C6H6(GT),12,AttnLSTM,6.20446883299056
C6H6(GT),12,TCN,6.676037941179606
C6H6(GT),12,Transformer,7.181436551854074
C6H6(GT),12,TFT,6.789106432133906
C6H6(GT),12,Informer,6.132646331622384
C6H6(GT),12,Autoformer,8.780008715833723
C6H6(GT),12,BlendMean,6.348204263559096
C6H6(GT),24,LightGBM,6.786097953496469
C6H6(GT),24,RF,7.695068547352613
C6H6(GT),24,Linear,6.495332907710918
C6H6(GT),24,XGBoost,7.524963630581854
C6H6(GT),24,AttnLSTM,6.503108903707203
C6H6(GT),24,TCN,7.535099698639326
C6H6(GT),24,Transformer,7.8256494948148125
C6H6(GT),24,TFT,8.579985399428896
C6H6(GT),24,Informer,8.329949139422757
C6H6(GT),24,Autoformer,8.36658254332441
C6H6(GT),24,BlendMean,6.784084945277733
NOx(GT),1,LightGBM,96.6666530996276
NOx(GT),1,RF,101.72254204191894
NOx(GT),1,Linear,97.39022223916163
NOx(GT),1,XGBoost,100.23025159292288
NOx(GT),1,AttnLSTM,363.2988531016922
NOx(GT),1,TCN,218.62453207387546
