target,horizon,model,rmse
CO(GT),1,MH_Transformer,2.0790638507396926
CO(GT),6,MH_Transformer,1.8238437807693986
CO(GT),12,MH_Transformer,1.6554795828203825
CO(GT),24,MH_Transformer,1.8035323347890067
NMHC(GT),1,MH_Transformer,37.640244175092185
NMHC(GT),6,MH_Transformer,39.111774052220916
NMHC(GT),12,MH_Transformer,36.13361186042381
NMHC(GT),24,MH_Transformer,38.384966587513425
C6H6(GT),1,MH_Transformer,11.532456071687307
C6H6(GT),6,MH_Transformer,11.971467241633572
C6H6(GT),12,MH_Transformer,12.15468242359836
C6H6(GT),24,MH_Transformer,12.522950766539951
NOx(GT),1,MH_Transformer,286.8268302827407
NOx(GT),6,MH_Transformer,287.2191980199501
NOx(GT),12,MH_Transformer,287.1214677954357
NOx(GT),24,MH_Transformer,284.42703194254506
NO2(GT),1,MH_Transformer,70.88824253730286
NO2(GT),6,MH_Transformer,70.95499564372375
NO2(GT),12,MH_Transformer,71.10806719610876
NO2(GT),24,MH_Transformer,71.07525286613485
