target,horizon,model,rmse
CO(GT),1,LightGBM,0.618856917379077
CO(GT),1,RF,0.6582445692123304
CO(GT),1,Linear,0.6494761638334826
CO(GT),1,XGBoost,0.642548657880267
CO(GT),1,AttnLSTM,1.5735049233038703
CO(GT),1,TCN,1.1191521834529496
CO(GT),1,Transformer,1.4388893200428376
CO(GT),1,TFT,1.4354955529403923
CO(GT),1,Informer,1.4549496479897464
CO(GT),1,Autoformer,1.2618524262695945
CO(GT),1,BlendMean,0.610861221573295
CO(GT),6,LightGBM,1.1371735249052743
CO(GT),6,RF,1.2290817593946286
CO(GT),6,Linear,1.1501784285515635
CO(GT),6,XGBoost,1.2017817896233542
CO(GT),6,AttnLSTM,1.5421053681062524
CO(GT),6,TCN,1.2982158889525899
CO(GT),6,Transformer,2.0868161093335287
CO(GT),6,TFT,1.9687086661353779
CO(GT),6,Informer,1.6194802308402083
CO(GT),6,Autoformer,1.4454206058282728
CO(GT),6,BlendMean,1.1053335103132975
CO(GT),12,LightGBM,1.4340535126937954
CO(GT),12,RF,1.5594648377909224
CO(GT),12,Linear,1.1638905374880841
CO(GT),12,XGBoost,1.5049565663401847
CO(GT),12,AttnLSTM,1.7038566673817586
CO(GT),12,TCN,1.2688925584865889
CO(GT),12,Transformer,1.7647600371606103
CO(GT),12,TFT,1.7012934540849363
CO(GT),12,Informer,1.5423435239592744
CO(GT),12,Autoformer,1.6602712771802395
CO(GT),12,BlendMean,1.347405132977529
CO(GT),24,LightGBM,1.4666931542142811
CO(GT),24,RF,1.568510814641248
CO(GT),24,Linear,1.2455784872003335
CO(GT),24,XGBoost,1.4444082041999544
CO(GT),24,AttnLSTM,1.7732509515244286
CO(GT),24,TCN,1.6874689278778308
CO(GT),24,Transformer,1.6982914459753746
CO(GT),24,TFT,1.6764818867708953
CO(GT),24,Informer,1.5457326550009858
CO(GT),24,Autoformer,1.7002362568792444
CO(GT),24,BlendMean,1.375174893084497
NMHC(GT),1,LightGBM,23.623318266561608
NMHC(GT),1,RF,6.094683127160484
NMHC(GT),1,Linear,6.566665610110095
NMHC(GT),1,XGBoost,9.65511963050609
NMHC(GT),1,AttnLSTM,232.13713300116896
NMHC(GT),1,TCN,48.2329305956969
NMHC(GT),1,Transformer,163.72952971558456
NMHC(GT),1,TFT,160.93821976942598
NMHC(GT),1,Informer,164.1891593670028
NMHC(GT),1,Autoformer,163.34252421112794
NMHC(GT),1,BlendMean,10.178044603003986
NMHC(GT),6,LightGBM,47.56800334263224
NMHC(GT),6,RF,11.598543676160443
NMHC(GT),6,Linear,16.8385600531682
NMHC(GT),6,XGBoost,69.44960234226274
NMHC(GT),6,AttnLSTM,232.1210315790264
NMHC(GT),6,TCN,47.986451201160385
NMHC(GT),6,Transformer,163.7592740708699
NMHC(GT),6,TFT,161.81653369395713
NMHC(GT),6,Informer,163.16605511100366
NMHC(GT),6,Autoformer,164.36169870342516
NMHC(GT),6,BlendMean,34.456238812941
NMHC(GT),12,LightGBM,14.6567760601472
NMHC(GT),12,RF,16.668699335449435
NMHC(GT),12,Linear,17.25815026240719
NMHC(GT),12,XGBoost,13.15492206681324
NMHC(GT),12,AttnLSTM,232.57709511616045
NMHC(GT),12,TCN,47.56725010131182
NMHC(GT),12,Transformer,163.88755651855692
NMHC(GT),12,TFT,161.37277409476116
NMHC(GT),12,Informer,165.2321821203349
NMHC(GT),12,Autoformer,163.76124196325634
NMHC(GT),12,BlendMean,7.682314355809849
NMHC(GT),24,LightGBM,4.41343296794024
NMHC(GT),24,RF,5.54721515510364
NMHC(GT),24,Linear,25.224171111333604
NMHC(GT),24,XGBoost,13.901653703010334
NMHC(GT),24,AttnLSTM,232.65164349053137
NMHC(GT),24,TCN,51.23829264605973
NMHC(GT),24,Transformer,163.73083083766474
NMHC(GT),24,TFT,162.12334239635436
NMHC(GT),24,Informer,163.23332970615235
NMHC(GT),24,Autoformer,164.2312509217869
NMHC(GT),24,BlendMean,11.477041252346245
C6H6(GT),1,LightGBM,2.9650477611048807
C6H6(GT),1,RF,2.938706233146651
C6H6(GT),1,Linear,3.162846611004169
C6H6(GT),1,XGBoost,3.0559434277135327
C6H6(GT),1,AttnLSTM,6.129048824198869
C6H6(GT),1,TCN,5.89513738244343
C6H6(GT),1,Transformer,9.54609802846906
C6H6(GT),1,TFT,7.875490244047388
C6H6(GT),1,Informer,6.964446541848956
C6H6(GT),1,Autoformer,8.21307953294831
C6H6(GT),1,BlendMean,2.8540702408564274
C6H6(GT),6,LightGBM,5.330748696044684
C6H6(GT),6,RF,6.110583640306163
C6H6(GT),6,Linear,5.461450113328649
C6H6(GT),6,XGBoost,5.772336755162178
C6H6(GT),6,AttnLSTM,6.110476088346401
C6H6(GT),6,TCN,7.094026148295921
C6H6(GT),6,Transformer,7.32522602597612
C6H6(GT),6,TFT,7.888183255611956
C6H6(GT),6,Informer,7.8532688217505155
C6H6(GT),6,Autoformer,6.570514554208876
C6H6(GT),6,BlendMean,5.287959143027695
C6H6(GT),12,LightGBM,6.4561175802382635
C6H6(GT),12,RF,7.2781643203931505
C6H6(GT),12,Linear,5.836015996521381
C6H6(GT),12,XGBoost,7.062126101802053
C6H6(GT),12,AttnLSTM,6.433588712245632
C6H6(GT),12,TCN,7.28195488722426
C6H6(GT),12,Transformer,8.241714223892698
C6H6(GT),12,TFT,8.360442230114602
C6H6(GT),12,Informer,6.3564759556079595
C6H6(GT),12,Autoformer,8.416404711589596
C6H6(GT),12,BlendMean,6.348204263559096
C6H6(GT),24,LightGBM,6.786097953496469
C6H6(GT),24,RF,7.695068547352613
C6H6(GT),24,Linear,6.495332907710918
C6H6(GT),24,XGBoost,7.524963630581854
C6H6(GT),24,AttnLSTM,7.74823893271482
C6H6(GT),24,TCN,7.089059639974826
C6H6(GT),24,Transformer,8.987455275841839
C6H6(GT),24,TFT,9.162895810813867
C6H6(GT),24,Informer,8.0838407519734
C6H6(GT),24,Autoformer,9.297883247093285
C6H6(GT),24,BlendMean,6.784084945277733
NOx(GT),1,LightGBM,96.6666530996276
NOx(GT),1,RF,101.72254204191894
NOx(GT),1,Linear,97.39022223916163
NOx(GT),1,XGBoost,100.23025159292288
NOx(GT),1,AttnLSTM,363.1526918515851
