target,horizon,model,rmse
CO(GT),1,LightGBM,0.7702659637019301
CO(GT),1,RF,0.758137043001944
CO(GT),1,Linear,0.6417368930709507
CO(GT),1,XGBoost,0.7814722525718985
CO(GT),1,AttnLSTM,1.593736138839193
CO(GT),1,TCN,1.1985991639087175
CO(GT),1,Transformer,1.4333322721520039
CO(GT),1,TFT,1.2758518612600511
CO(GT),1,Informer,1.4171003212753106
CO(GT),1,Autoformer,1.361638090821657
CO(GT),1,BlendMean,0.6914106954133671
CO(GT),6,LightGBM,1.1749279430043682
CO(GT),6,RF,1.133089733963187
CO(GT),6,Linear,1.2708768786876439
CO(GT),6,XGBoost,1.1430980164034972
CO(GT),6,AttnLSTM,1.557204056443969
CO(GT),6,TCN,1.3283947315793336
CO(GT),6,Transformer,1.5850069051710942
CO(GT),6,TFT,1.5690962307832743
CO(GT),6,Informer,1.4980811199182542
CO(GT),6,Autoformer,1.6777759916945698
CO(GT),6,BlendMean,1.1379894127418315
CO(GT),12,LightGBM,1.262737073454816
CO(GT),12,RF,1.2428993945265765
CO(GT),12,Linear,1.3222321871408618
CO(GT),12,XGBoost,1.2705219851208303
CO(GT),12,AttnLSTM,1.6347304311478739
CO(GT),12,TCN,1.3401358638258665
CO(GT),12,Transformer,1.402599959197116
CO(GT),12,TFT,1.4004194395768728
CO(GT),12,Informer,1.483272789792356
CO(GT),12,Autoformer,1.542211166981431
CO(GT),12,BlendMean,1.2392948702496598
CO(GT),24,LightGBM,1.2701891104148717
CO(GT),24,RF,1.2306429123551172
CO(GT),24,Linear,1.3933010521395053
CO(GT),24,XGBoost,1.2813752825839233
CO(GT),24,AttnLSTM,1.6397969728312813
CO(GT),24,TCN,1.6453576826556184
CO(GT),24,Transformer,1.590223401048927
CO(GT),24,TFT,1.6818208233013807
CO(GT),24,Informer,1.688586308616989
CO(GT),24,Autoformer,1.5691452958704792
CO(GT),24,BlendMean,1.245676662579261
NMHC(GT),1,LightGBM,0.0
NMHC(GT),1,RF,0.0
NMHC(GT),1,Linear,0.0
NMHC(GT),1,XGBoost,0.00030517578125
NMHC(GT),1,AttnLSTM,241.2302586886817
NMHC(GT),1,TCN,144.35995421208975
NMHC(GT),1,Transformer,201.4184478297621
NMHC(GT),1,TFT,199.12504841443288
NMHC(GT),1,Informer,201.55154943769944
NMHC(GT),1,Autoformer,201.9310318191052
NMHC(GT),1,BlendMean,7.62939453125e-05
NMHC(GT),6,LightGBM,0.0
NMHC(GT),6,RF,0.0
NMHC(GT),6,Linear,0.0
NMHC(GT),6,XGBoost,0.00030517578125
NMHC(GT),6,AttnLSTM,241.6767813152463
NMHC(GT),6,TCN,141.11948689694748
NMHC(GT),6,Transformer,201.24766097420945
NMHC(GT),6,TFT,198.79777078830048
NMHC(GT),6,Informer,201.948051342421
NMHC(GT),6,Autoformer,202.3787167527964
NMHC(GT),6,BlendMean,7.62939453125e-05
NMHC(GT),12,LightGBM,0.0
NMHC(GT),12,RF,0.0
NMHC(GT),12,Linear,0.0
NMHC(GT),12,XGBoost,0.00030517578125
NMHC(GT),12,AttnLSTM,242.24984437960177
NMHC(GT),12,TCN,137.67409751931623
NMHC(GT),12,Transformer,204.57422496223808
NMHC(GT),12,TFT,201.60881331638012
NMHC(GT),12,Informer,204.8658188799675
NMHC(GT),12,Autoformer,204.50126003977016
NMHC(GT),12,BlendMean,7.62939453125e-05
NMHC(GT),24,LightGBM,0.0
NMHC(GT),24,RF,0.0
NMHC(GT),24,Linear,0.0
NMHC(GT),24,XGBoost,0.00030517578125
NMHC(GT),24,AttnLSTM,242.10834244055116
NMHC(GT),24,TCN,152.5516594261757
NMHC(GT),24,Transformer,204.13659496719455
NMHC(GT),24,TFT,202.2972903624267
NMHC(GT),24,Informer,204.35847532114622
NMHC(GT),24,Autoformer,204.12294457490373
NMHC(GT),24,BlendMean,7.62939453125e-05
C6H6(GT),1,LightGBM,3.1652499737106963
C6H6(GT),1,RF,2.976934757371522
C6H6(GT),1,Linear,3.0660898434233808
C6H6(GT),1,XGBoost,3.3121758814935505
C6H6(GT),1,AttnLSTM,6.070920086657291
C6H6(GT),1,TCN,7.050559976729394
C6H6(GT),1,Transformer,5.974575144758626
C6H6(GT),1,TFT,6.999313694189608
C6H6(GT),1,Informer,6.2287674262486465
C6H6(GT),1,Autoformer,5.786556301723019
C6H6(GT),1,BlendMean,2.942706305317669
C6H6(GT),6,LightGBM,5.6275422625671805
C6H6(GT),6,RF,5.519577940858591
C6H6(GT),6,Linear,5.329429515650196
C6H6(GT),6,XGBoost,5.413835912524465
C6H6(GT),6,AttnLSTM,6.582575697920915
C6H6(GT),6,TCN,7.716658004732139
C6H6(GT),6,Transformer,6.200430755197029
C6H6(GT),6,TFT,6.569490569819028
C6H6(GT),6,Informer,6.222172325203448
C6H6(GT),6,Autoformer,6.3321965198189325
